Address,Quadrant,Profit_Factor,Average_Leverage,Total_PnL,Win_Rate,Liq_Loss_Ratio,Total_Account_Value,Avg_Duration_Min,Orders_30d,Orders_Per_Day,Duration_Ratio,Liq_Loss_Ratio_Detail,Top_Coins_Vol_Ratio,Liquidations_60d,Avg_PV
0x284fd22a39e6b3ed0447b91a4588b543c08cbec6,Q2: 爆破敢死队,0.0,20.0,-20335.01,0.00%,0.8248,18216.85,203.37,37,1.23,0.0,0.8248,1.0,2,48069.41
0x0e41e2d4b27ddd2948004f60e907853b7e677ad2,Q2: 爆破敢死队,0.0396,23.06,-19418.5,16.67%,0.3238,0.0,522.78,37,1.23,1.0218,0.3238,0.8623,5,102549.88
0xab1429a91910ac05afc5902e69569b21a515b03a,Q2: 爆破敢死队,0.1114,21.25,-16341.47,22.22%,0.502,152.61,5702.53,36,1.2,3.3486,0.502,0.9715,4,24869.37
0x60d1a4634176e16741d1f5f2233f9b0aba3ab117,Q2: 爆破敢死队,0.0,23.2,-85382.64,0.00%,0.6765,1561.96,2042.92,35,1.17,0.0,0.6765,0.9819,17,600812.57
0x96bb30b12d5e5017b38f00799c869564077601a5,Q2: 爆破敢死队,0.0079,12.96,-93698.54,20.00%,1.0042,0.01,1944.06,34,1.13,1.389,1.0042,0.9637,9,145126.45
0x0dbecf079011df54c7d461fcaaf3b89045992c63,Q2: 爆破敢死队,0.1262,30.57,-10412.73,25.93%,1.005,0.0,921.95,34,1.13,2.2036,1.005,0.9812,7,13382.11
0xffa8ecbcd36dd2f3ac54931e1561cdfc6c152536,Q2: 爆破敢死队,0.0,40.0,-13320.58,0.00%,1.0,84.32,1372.89,33,1.1,0.0,1.0,1.0,3,63161.56
0x737db2a9e79ff2d6380b4e45c7b2a3af9312ea0a,Q2: 爆破敢死队,0.2907,33.23,-77610.47,15.52%,1.0283,46.32,10706.04,33,1.1,0.3888,1.0283,0.9262,13,64545.55
0x02d10f41f3a88614c63f718272c60da7bf37a53e,Q2: 爆破敢死队,0.2915,16.69,-15903.42,28.57%,0.3569,0.01,602.52,32,1.07,0.5801,0.3569,0.946,2,29990.1
0x2d47519357eaccd8cec62d55747697eab3e8c25a,Q2: 爆破敢死队,0.1235,13.12,-18541.03,25.00%,0.2956,8872.09,2033.22,31,1.03,1.2226,0.2956,0.9686,3,81601.65
0x88dd694eb900a670734892ca2e89f20defe2ac8c,Q2: 爆破敢死队,0.0618,13.62,-55859.47,25.76%,0.5789,1536.64,1680.69,30,1.0,1.6322,0.5789,1.0,3,15384.7
0x96ccc32214260052e6fd971c4d34dda9f85c6888,Q2: 爆破敢死队,0.0,25.0,-248662.41,0.00%,0.533,0.0,8363.28,30,1.0,0.0,0.533,1.0,17,2716123.02
0x6be0238d1c7e2fc5983401904191dcabee80b61e,Q2: 爆破敢死队,0.1579,26.4,-26155.74,12.50%,1.2016,2171.38,4024.47,30,1.0,1.3,1.2016,0.9953,10,83283.84
0xcbf9e45b8eed05b3ea10d4e220633347bd460123,Q2: 爆破敢死队,0.0,40.0,-25889.1,0.00%,1.0,387.38,763.66,29,0.97,0.0,1.0,1.0,8,244597.3
0xd96a4f677a76d8a35724694cd4b7b2fc7bc3be82,Q2: 爆破敢死队,0.1684,22.81,-15841.92,18.75%,1.1772,800.86,2990.46,29,0.97,0.6648,1.1772,0.8541,11,38721.74
0x202ead80255ea60012ecae2e95cbbba48978cc32,Q2: 爆破敢死队,0.2565,14.47,-25967.62,24.39%,0.0105,1535.51,14022.36,28,0.93,1.0977,0.0105,0.9787,1,21958.0
0xc50fdc5f1c6d9f5014f57b44f87f8a3fa3d94eaa,Q2: 爆破敢死队,0.0906,28.62,-11057.84,20.00%,0.0702,2654.36,665.28,28,0.93,0.1152,0.0702,0.9705,1,208437.32
0x5d01759ecc55da5f4064f120c3e6acac1846c308,Q2: 爆破敢死队,0.068,21.46,-48023.61,14.29%,0.8367,1.23,1014.04,26,0.87,0.1984,0.8367,0.9812,7,375720.49
0x95448f3409d8ad3eede77f0d24c212b85d43005d,Q2: 爆破敢死队,0.0325,19.97,-15317.25,26.09%,0.0699,0.29,1195.71,26,0.87,0.2647,0.0699,0.9728,1,66543.74
0x579610632824a0adf5cb319362fbc41f6171bad8,Q2: 爆破敢死队,0.2687,31.5,-14365.26,26.67%,1.236,10.49,1276.48,26,0.87,4.2284,1.236,1.0,9,27968.46
0xaf796adca5e5883808246259d58701fc6616a473,Q2: 爆破敢死队,0.0,20.0,-15610.93,0.00%,1.6896,0.0,1982.24,26,0.87,0.0,1.6896,1.0,4,86381.96
0xfcd95c3765d74b011afa309ac79cf1f970e9c375,Q2: 爆破敢死队,0.1297,17.27,-33451.29,29.03%,0.3287,15834.21,2745.0,26,0.87,1.6823,0.3287,0.9127,2,53189.4
0x9d39268c2595774114ba75a06b3bfa56ba3159e2,Q2: 爆破敢死队,0.2083,28.0,-63249.05,25.00%,0.715,11853.66,17634.16,25,0.83,0.9405,0.715,0.9331,2,34298.89
0xac976a474afca5b42e738795e96697f9bd058708,Q2: 爆破敢死队,0.1105,14.48,-28969.66,28.57%,0.9295,10312.82,719.59,25,0.83,0.5528,0.9295,0.9461,5,203009.92
0x5bda819d429d817e38dc3bf7d4d1ae4e1694ea67,Q2: 爆破敢死队,0.1943,20.0,-10307.5,20.00%,1.1461,0.01,2805.11,25,0.83,2.2369,1.1461,1.0,16,23053.81
0xd289f9590f3da4293ac821e16cee595e7b675be3,Q2: 爆破敢死队,0.0046,16.25,-171069.14,14.29%,0.1979,34.79,18693.22,25,0.83,149.3438,0.1979,0.9417,2,168723.89
0x82336b9cd58ec7964fd682b217334dbb59ba0bd5,Q2: 爆破敢死队,0.1978,15.5,-107732.26,16.67%,0.5242,188.83,9620.95,24,0.8,0.2078,0.5242,0.8,9,76063.21
0x8534802f842da37371a25021b64eb14e39779df8,Q2: 爆破敢死队,0.0147,31.0,-80068.59,27.27%,0.4487,0.01,931.11,24,0.8,0.5031,0.4487,0.9907,5,322373.06
0x14358b57119f9ce526f6d3edbc72e376970af2f8,Q2: 爆破敢死队,0.237,12.74,-78690.33,17.95%,0.6722,10.0,7674.03,24,0.8,0.4323,0.6722,0.8,7,82591.63
